,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_decay
99,1,12.0,0.0005858280001120875,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",geometric,50.0,,0.001,49.99970561245897,50,4096,0.99
100,2,12.0,0.08505107500059239,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",geometric,50.0,,0.001,49.95727866810196,50,4096,0.99
101,4,10.0,0.16956423100054963,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]",geometric,50.0,,0.001,49.91486369077978,50,4096,0.99
102,8,9.0,0.25390544200035947,"[0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]",geometric,50.0,,0.001,49.87257090979738,50,4096,0.99
103,16,10.0,0.3399993990005896,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0]",geometric,50.0,,0.001,49.82943617598683,50,4096,0.99
104,32,13.0,0.42853292700056045,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1]",geometric,50.0,,0.001,49.785118077587256,50,4096,0.99
105,64,5.0,0.5197054170002957,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1]",geometric,50.0,,0.001,49.73952016387454,50,4096,0.99
106,128,10.0,0.6168309040003805,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1]",geometric,50.0,,0.001,49.69099093103547,50,4096,0.99
107,256,12.0,0.7266568280001593,"[0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0]",geometric,50.0,,0.001,49.63617289957043,50,4096,0.99
108,512,23.0,0.8583736170003249,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",geometric,50.0,,0.001,49.570508107844866,50,4096,0.99
